TT,Họ và tên,Mã nhân viên ,Căn cước công dân,Chức vụ công đoàn ,"Chức vụ, đơn vị công tác hiện nay","Ngày, tháng,
 năm sinh",,Dân tộc,Quê quán,Ngày vào Đảng,Học vấn phổ thông,Chuyên môn,Chính trị,Ngoại ngữ,Email,Điện thoại,"Bộ phận, phòng ban"
811,Bùi Văn Sang,HT03553,075085002415,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,sangbv@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
812,Phạm Hùng Việt,HT03554,075085002414,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,vietph@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
813,Đoàn Văn Nam,HT03555,075085002413,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,namdv@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
814,Nguyễn Duy Khánh,HT03556,075085002412,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
815,Nguyễn Hoài Phương,HT03557,075085002411,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,phuongnh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
816,Nguyễn Quốc Huy,HT03558,075085002410,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,huynq@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
817,Bùi Huy Khánh,HT03559,075085002409,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhbh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
818,Trần Tấn Tài,HT03560,075085002408,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,taitt@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
819,Đặng Văn Bình,HT03561,075085002407,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,binhdv@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
820,Đoàn Minh Trí,HT03562,075085002406,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,tridm@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
821,Lê Quốc Hưng,HT03563,075085002405,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,hunglq@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
822,Vương Quốc Cường,HT03564,075085002404,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongvq@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
823,Lý Văn Bình,HT03565,075085002403,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,binhlv@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
824,Nguyễn Hoài Thương,HT03566,075085002402,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,thuongnh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
825,Trần Thanh Liêm,HT03567,075085002401,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,liemtt@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
826,Trịnh Hùng Thuận,HT03568,075085002400,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,thuanth@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
827,Trần Hoài Nam,HT03569,075085002399,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,namth@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
828,Nguyễn Quốc Huy,HT03570,075085002398,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,huynq1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
829,Phan Hoài Nam,HT03571,075085002397,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,namph@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
830,Trần Hoài Thương,HT03572,075085002396,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,thuongth@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
831,Nguyễn Quốc Thương,HT03573,075085002395,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,thuongnq@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
832,Nguyễn Trường Chinh,HT03574,075085002394,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,chinhnt1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
833,Đinh Hùng Cường,HT03575,075085002393,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongdh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
834,Trần Đăng Khoa,HT03576,075085002392,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd2@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
835,Trịnh Đăng Khoa,HT03577,075085002391,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd3@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
836,Lâm Đăng Khoa,HT03578,075085002390,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoald@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
837,Đỗ Minh Trí,HT03579,075085002389,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,tridm1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
838,Lê Hùng Cường,HT03580,075085002388,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuonglh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
839,Nguyễn Hoài Thương,HT03581,075085002387,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,thuongnh1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
840,Trần Đăng Khoa,HT03582,075085002386,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd4@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
841,Nguyễn Duy Khánh,HT03583,075085002385,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
842,Võ Minh Trí,HT03584,075085002384,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
843,Nguyễn Duy Khánh,HT03585,075085002383,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd2@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
844,Trần Đăng Khoa,HT03586,075085002382,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd5@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
845,Trần Hùng Cường,HT03587,075085002381,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
846,Nguyễn Duy Khánh,HT03588,075085002380,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd3@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
847,Võ Minh Trí,HT03589,075085002379,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv1@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
848,Nguyễn Duy Khánh,HT03590,075085002378,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd4@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
849,Trần Đăng Khoa,HT03591,075085002377,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd6@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
850,Trần Hùng Cường,HT03592,075085002376,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth2@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
851,Nguyễn Duy Khánh,HT03593,075085002375,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd5@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
852,Võ Minh Trí,HT03594,075085002374,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv2@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
853,Nguyễn Duy Khánh,HT03595,075085002373,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd6@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
854,Trần Đăng Khoa,HT03596,075085002372,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd7@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
855,Trần Hùng Cường,HT03597,075085002371,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth3@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
856,Nguyễn Duy Khánh,HT03598,075085002370,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd7@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
857,Võ Minh Trí,HT03599,075085002369,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv3@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
858,Nguyễn Duy Khánh,HT03600,075085002368,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd8@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
859,Trần Đăng Khoa,HT03601,075085002367,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd8@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
860,Trần Hùng Cường,HT03602,075085002366,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth4@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
861,Nguyễn Duy Khánh,HT03603,075085002365,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd9@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
862,Võ Minh Trí,HT03604,075085002364,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv4@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
863,Nguyễn Duy Khánh,HT03605,075085002363,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd10@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
864,Trần Đăng Khoa,HT03606,075085002362,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd9@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
865,Trần Hùng Cường,HT03607,075085002361,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth5@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
866,Nguyễn Duy Khánh,HT03608,075085002360,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd11@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
867,Võ Minh Trí,HT03609,075085002359,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv5@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
868,Nguyễn Duy Khánh,HT03610,075085002358,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd12@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
869,Trần Đăng Khoa,HT03611,075085002357,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd10@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
870,Trần Hùng Cường,HT03612,075085002356,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth6@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
871,Nguyễn Duy Khánh,HT03613,075085002355,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd13@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
872,Võ Minh Trí,HT03614,075085002354,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv6@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
873,Nguyễn Duy Khánh,HT03615,075085002353,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd14@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
874,Trần Đăng Khoa,HT03616,075085002352,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd11@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
875,Trần Hùng Cường,HT03617,075085002351,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth7@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
876,Nguyễn Duy Khánh,HT03618,075085002350,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd15@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
877,Võ Minh Trí,HT03619,075085002349,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv7@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
878,Nguyễn Duy Khánh,HT03620,075085002348,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd16@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
879,Trần Đăng Khoa,HT03621,075085002347,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd12@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
880,Trần Hùng Cường,HT03622,075085002346,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth8@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
881,Nguyễn Duy Khánh,HT03623,075085002345,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd17@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
882,Võ Minh Trí,HT03624,075085002344,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv8@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
883,Nguyễn Duy Khánh,HT03625,075085002343,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd18@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
884,Trần Đăng Khoa,HT03626,075085002342,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd13@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
885,Trần Hùng Cường,HT03627,075085002341,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth9@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
886,Nguyễn Duy Khánh,HT03628,075085002340,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd19@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
887,Võ Minh Trí,HT03629,075085002339,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv9@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
888,Nguyễn Duy Khánh,HT03630,075085002338,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd20@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
889,Trần Đăng Khoa,HT03631,075085002337,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd14@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
890,Trần Hùng Cường,HT03632,075085002336,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth10@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
891,Nguyễn Duy Khánh,HT03633,075085002335,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd21@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
892,Võ Minh Trí,HT03634,075085002334,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv10@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
893,Nguyễn Duy Khánh,HT03635,075085002333,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd22@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
894,Trần Đăng Khoa,HT03636,075085002332,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd15@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
895,Trần Hùng Cường,HT03637,075085002331,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth11@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
896,Nguyễn Duy Khánh,HT03638,075085002330,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd23@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
897,Võ Minh Trí,HT03639,075085002329,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv11@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
898,Nguyễn Duy Khánh,HT03640,075085002328,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd24@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
899,Trần Đăng Khoa,HT03641,075085002327,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd16@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
900,Trần Hùng Cường,HT03642,075085002326,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongth12@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
901,Nguyễn Duy Khánh,HT03643,075085002325,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd25@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
902,Võ Minh Trí,HT03644,075085002324,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trimv12@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
903,Nguyễn Duy Khánh,HT03645,075085002323,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khanhnd26@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
904,Trần Đăng Khoa,HT03646,075085002322,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoatd17@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
